11,Русская воскресная школа в Мурабине,15 Mayfield St,,zotkinaolga@hotmail.com,Вс.: 10.00-13.00,Инна Зайцева,"Русский язык, литература, математика.",,1,,3,11
12,"Русский образовательный центр на юго-востоке Мельбурна ""OREH"" (Open Russian Educational Hub)",38 Valetta Street,https://oreh.com.au/,oreh.inc@gmail.com,Онлайн и офлайн – по  воскресеньям с 9:30 до 14:00,Вера Иванова,"Русский язык для билингвов, РКИ для детей и взрослых, Раннее Развитие, Драма, Математиика, Шахматы, География, Физика, Химия, Биология, ИЗО, МХК, Рукоделие, История, Йога и др.",https://www.facebook.com/OpenRussianEducationalHub/,1,,3,12
13,Русский образовательно-культурный центр Западной Австралии/ WA Russian Education Cultural Centre Inc. (WARECC),410 Railway Parade,http://www.warussianschool.com.au,,Cб.: 10.00-14.00,Наталья (Симонова) Бак,"Русский язык, чтение, литература, история, русский фольклор, перевод, рисование, прикладное искусство, логопед.",,1,,13,13
14,Русский –Культурно Образовательный Центр Западной Австралии «Мозаика»,15 Triumph Approach,http://www.mosaicawa.com,,Cб.: 10.00-14.00,Ирина Якименко,"Танцы, музыка, русский язык.",,1,,13,14
15,Церковно-приходская школа Свято-Петропавловского Прихода в Перте,161 Whatley Crs.,,seokunev@yahoo.com.au,Вс.: 13.40-16.00,Протоиерей о.Сергей (Окунев),"Закон Божий, азы православия, русский язык, чтение, развитие речи с логопедом",,1,,13,15
16,Русская школа имени А.С.Пушкина при Ассоциации «Давай поговорим»/ Pushkin Russian School,5 Carolyn Grove,http://www.russianschoolinadelaide.org,vfkant@gmail.com,Сб.: 10.00-14.00,Владимир Кантер,"Русский язык, литература, математика, история, география, драма, рисование, история искусства, хореография, окружающий мир",,1,,16,16
17,Аделаидская Русская Этническая Школа/ Adelaide Russian Ethnic School Inc.,PO Box 121,http://www.ares.org.au,contact@adelaiderussianschool.org.au,Сб.: 9.30-15.00,Константин Георгиевич Тодорашко,"Русский язык, мировая литература, математика, история, география, художественное творчество, музыкальное творчество, хореография, развитие, окружающий мир. Индивидуальные занятия с логопедом, Подготовка и прием экзамена SACE по русскому языку, шахматы, уроки самообороны (тэйквондо).",,1,,16,17
18,Русская Молоканская Школа/ Russian Molokan School Inc,PO Box 774,,,Пт.: 18.00-21.00,Павел Ледяев,"Русский язык, литература, математика, история, география",,1,,16,18
19,Русская школа при Церкви пятидесятников/ School of Russian Language,97 New Street,,,Пт.: 18.00-21.00,Сергей Кусков,"Русский язык, география, искусство, занятия по программе начального образования.",,1,,16,19
20,Русская школа при Славянской Баптистской Церкви/ Slavic Baptist Church Russian School,11 Broad Street,,,Пт.: 18.00-21.00,Франк Лымарев,"Русский язык, история России, литература, музыка.",,1,,16,19
21,Русская Школа при Свято-николаевской Церкви/ Russian School of St.Nicholas Parish Russian Orthodox Church,41-42 Greenhill Road,,,Сб.: 9.00-13.00,Протоиерей о.Владимир (Федюхин),"Русский язык, литература, перевод, история России, география России, закон Божий, пение, музыка, балалайка",,1,,16,21
22,Свято-Серафимовская Русская школа/ St.Seraphim Russian School,60 Hawthorn street,http://www.russianschool.org.au,fr.gabriel.makarov@rocr.org.au,Сб.: 9.00-13.00; Пн.: 7.00-20.00,Протоиерей о.Гавриил (Макаров),"Русский язык, русская литература, история России, изобразительное искусство, русское народное творчество, шахматы, математика.",,1,,22,22
23,"Свято-Николаевская Прицерковная Школа/ St Nicholas Parish School, Brisbane",114 Woodlands Dr,,fr.gabriel.makarov@rocr.org.au,Вт.: 16.30-19.30,Протоиерей о.Гавриил (Макаров),"Закон Божий, русский язык, пение.",,1,,22,23
24,"Русская школа ""Ромашка""",6 Lawson Street,,info@schoolromashka.com.au,"Сб. 9.00  -12.00, Вс. 9.00 - 12.15.",Овчинников Виктор Анатольевич,"Русский язык, история России, литература",,1,,22,24
25,Русская школа имени Святого князя Андрея Боголюбского при Свято-Покровском Храме РПЦ МП,240 Bungarribee Road,,admin@blacktownrussianschool.org.au,Сб.: 8.35-13.50,Светлана Барская,"Закон Божий, история России, Мировая история, русский язык, русская литература, география, театр.",,1,,25,25
26,Школа Святого Александра Невского в Хоумбуше,PO Box 4130,http://www.russianschoolsydney.org,russianschool@tpg.com.au,Сб.: 8.35-13.50,Николай Олегович Максимов,"Закон Божий, история и география России, русский язык, русская литература, перевод, пение, драма, танец.",,1,,25,26
27,Русская Школа в Марубре,12/254 Pacific Hwy,http://www.russianschool.com.au,contact@russianschool.com.au,Вс.: 9.30-13.15; Вт.: 10.00-12.00,Надежда Алексеевна Сазонова,"Русский язык, русская литература, развитие речи, русская культура, основы истории и географии России, музыкальная культура, драма.",,1,,25,27
28,Епархиальная школа русского языка имени Святого Александра Невского при Кафедральном Соборе Святых Апостолов Петра и Павла,7 Vernon St,,frglap@bigpond.com,Сб.: 9.00-13.40,"Протоиерей, о.Георгий Лапардин","Русский язык, закон Божий, русская литература, география России, история России, развитие речи, пение, театр.",,1,,25,28
29,Свято-Николаевская школа в Сиднее,FJC 53 Martin Pl.,http://www.russkayashkola.com.au,iryan@fjc.net.au,Пт.: 17.30-21.15,Ирина Борисовна Евстигнеева-Райан,"Закон Божий, русский язык, русская литература, история России, география России, история русской культуры, перевод, чтение, пение.",,1,,25,29
30,Школа имени Великомученика и Целителя Пантелеимона при Покровском Храме в Кабраматте,13 Regent Street,http://www.cabrapokrov.org,,Сб.: 9.00-13.30,Протоиерей о.Борис Игнатьевский,"Закон Божий, русский язык, русская литература, русское художественное слово (драма), развитие речи, риторика, рисование, история, география, пение, танцы.",,1,,25,30
31,Открытая школа при департаменте образования НЮУ «Open High School»,20 Conder street,,svetlana.krestovsky@education.nsw.gov.au,Сб.: 9:00-12.30,Мария Владимировна Лобызина,Русский язык для 9-12 классов.,,1,,25,31
32,Церковно-приходская школа при Благовещенско-Успенском Старообрядческом Храме в Лидкомбе,58 Vaughan Street,,,Пн.: 9:00-12.30,Протоиерей о.Тимофей (Овчинников),"Русский язык, русская литература, русское художественное слово, закон Божий.",,1,,25,32
33,Школа Русского языка имени Св.Архангела Михаила,4 Knight Avenue,,,Сб.: 9:00-12.30,Любовь Сергеевна Светлова,"Русский язык и литература, история, география, перевод.",,1,,25,33
34,Школа Им. Святого Георгия Победоносца/ St.George School of Russian Association Incorporation,9 Verdun Pl.,http://www.stgeorgerussianschool.org.au,info1@denastherapy.com.au,Сб.: 9:30-14:00,Людмила Станиславовна Юракова,"Закон Божий, русский язык и литература, окружающий мир, география, музыка, пение, рисование, труд.",,1,,25,34
35,Школа им. Святого Серафима/ St.Seraphim Hornsby Russian Community School,Pierre Cl,http://www.hornsbyrussianschool.org.au,info@hornsbyrussianschool.org.au,Вс.: 14:00-18:00,Дурягин Павел Николаевич,"Русский язык, литература, естествознание, творчество, развитие речи, классы развития речи (для детей изучающих русский как второй язык), Закон Божий (факультативно).",,1,,25,35
36,Школа им Св.Благоверного Князя Андрея Боголюбского,Bali Drive,http://www.blacktownrussianschool.org.au,admin@blacktownrussianschool.org.au,Вс.: 14:00-18:00,Руслан Вадимович Шаймиев,"Русский язык, литература, естествознание, творчество, развитие речи, классы развития речи.",,0,,25,36
37,Русская школа «Гармония»,6 Berrige Road,http://www.sydneyrussianschool.com.au,info@sydneyrussianschool.com.au,Сб.: 9:30-15:00,Ирина Анатольевна Гудхью,"Русский язык, литература, естествознание, творчество, развитие речи.",https://www.facebook.com/sydneyrussianschool.com.au/,1,https://goo.gl/maps/kXQxjHHyir82orfe9,25,37
38,Детская академия «Пеночка»,25 Alice street,,russian.telemost@gmail.com,Дистанционное обучение,Елена Николаевна Петрова,"Русский язык, история Россия. Развивающие игры для детей (младшая группа) и подготовка школьников.",,0,,25,38
39,Детский центр «Тип – Топ»,9 Verdun Pl.,http://www.tiptopkidz.com.au/,tiptop.kidz@gmail.com,Сб.: 15.00-17.00,Марина Снегурова,Занимательный русский язык для малышей (с 3 до  8 лет).,,1,https://goo.gl/maps/2jR1Gf6yLKksxtvQ8,25,34
40,Школа русского языка LinguaPlay Sydney,10 Manning Str.,http://www.linguaplaysydney.com.au,ilvira.groom@gmail.com,Сб.: 9.00-12.00,Ильвира Сафиуллина-Грум,"Русский язык, развитие речи, рисование.",https://www.facebook.com/LinguaPlaySydney/,1,https://goo.gl/maps/mLCNuQFYyx4mSTSX6,25,40
41,"Студия Детского развития ""Матрёшка""",66B Illawong Ave,http://www.aumatreshka.com,aumatreshka@gmail.com,Пн.: 4.30-18.00 Вт.: 9.30-12.30 Сб.: 9.30-1.30,"Наталья Бестужева, Наталья Варламова","Русский язык, литература. развитие речи, исторический, георафический блоки тем, обществознание, использование системы Монтессори.",https://www.facebook.com/Matr%D0%B5shka-Learning-Studio-886849778073399/,1,https://goo.gl/maps/ws7vkprTSNCszMUs6,25,41
42,Тасманийская русская этническая школа,Church Street Kingston Primary School,,helenkam@live.com.au,Чт.: 16:00-8:00; Сб.: 13.00-16:00,Елена Каминская,"Русский язык, развитие речи, музыка и драма.",https://www.facebook.com/russianschooltasmania,1,https://goo.gl/maps/LM7wmW8NL25hn7qN6,42,42
